Dataset,Published_HFCE_AUC,Reproduced_HFCE_AUC,Pairwise_lambda1_AUC,RFCE_delta_1e-2_AUC,Smooth_alpha4_AUC
Aud,0.887,0.8869511055745873,0.8869511055745873,0.8894425412644036,0.8883006332399044
Chess,0.944,0.943733944890946,0.943733944890946,0.9452628389220608,0.9441333856738496
Lym,1.0,1.0,1.0,1.0,1.0
Mush1,0.983,0.9831349035665744,0.9831349035665744,0.9831359788723912,0.9831349035665744
Mush2,0.928,0.9277113645060698,0.9277113645060698,0.9277159443417656,0.9277133999886013
Mush3,0.954,0.9536093715052562,0.9536093715052562,0.9536093715052562,0.953606575710132
Vote,0.995,0.994963192561023,0.994963192561023,0.9952214903784062,0.994963192561023
Glass,0.873,0.8731707317073171,0.8731707317073171,0.8731707317073171,0.8731707317073171
Iono,1.0,1.0,1.0,1.0,1.0
Iris,1.0,1.0,1.0,1.0,1.0
Musk,1.0,1.0,1.0,1.0,1.0
Wave,0.763,0.7627131319174395,0.7627131319174395,0.7627131319174395,0.7627131319174395
Wbc,0.998,0.9976322476322476,0.9976322476322476,0.9976322476322476,0.9976322476322476
Yeast,1.0,1.0,1.0,1.0,1.0
Arr,0.825,0.825208038938609,0.825208038938609,0.8256398178677972,0.8251295336787565
Band1,0.875,0.8747996794871795,0.8747996794871795,0.874198717948718,0.875
Band2,0.986,0.986111111111111,0.986111111111111,0.9866452991452992,0.986111111111111
German,0.983,0.9834693877551022,0.9834693877551022,0.9840816326530611,0.9833673469387756
Heart,0.991,0.99125,0.99125,0.99,0.99125
Hepa,0.999,0.9986928104575163,0.9986928104575163,0.9986928104575163,0.9973856209150328
