t,mu1,mu2,mu3,mu4,sigma_count,P_card,quadratic_fuzziness,P_pair_product,difference_pair_minus_card
0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
0.005,1.0,0.995,0.005,0.0,2.0,1.0,0.009950000000000004,1.004975,0.004974999999999952
0.01,1.0,0.99,0.01,0.0,2.0,1.0,0.019800000000000012,1.0099,0.00990000000000002
0.015,1.0,0.985,0.015,0.0,2.0,1.0,0.029550000000000014,1.014775,0.014774999999999983
0.02,1.0,0.98,0.02,0.0,2.0,1.0,0.03920000000000001,1.0196,0.019600000000000062
0.025,1.0,0.975,0.025,0.0,2.0,1.0,0.04875000000000002,1.024375,0.024375000000000036
0.03,1.0,0.97,0.03,0.0,2.0,1.0,0.05820000000000002,1.0291,0.029099999999999904
0.035,1.0,0.965,0.035,0.0,2.0,1.0,0.06755000000000003,1.033775,0.03377500000000011
0.04,1.0,0.96,0.04,0.0,2.0,1.0,0.07680000000000003,1.0384,0.03839999999999999
0.045,1.0,0.955,0.045,0.0,2.0,1.0,0.08595000000000003,1.042975,0.042974999999999985
0.05,1.0,0.95,0.05,0.0,2.0,1.0,0.09500000000000004,1.0475,0.0475000000000001
0.055,1.0,0.945,0.055,0.0,2.0,1.0,0.10395000000000004,1.051975,0.051975000000000104
0.06,1.0,0.94,0.06,0.0,2.0,1.0,0.11280000000000004,1.0564,0.056400000000000006
0.065,1.0,0.935,0.065,0.0,2.0,1.0,0.12154999999999996,1.060775,0.06077500000000002
0.07,1.0,0.9299999999999999,0.07,0.0,2.0,1.0,0.13020000000000004,1.0651,0.06509999999999994
0.075,1.0,0.925,0.075,0.0,2.0,1.0,0.13874999999999998,1.069375,0.06937499999999996
0.08,1.0,0.92,0.08,0.0,2.0,1.0,0.14719999999999997,1.0735999999999999,0.07359999999999989
0.085,1.0,0.915,0.085,0.0,2.0,1.0,0.15554999999999997,1.077775,0.07777499999999993
0.09,1.0,0.91,0.09,0.0,2.0,1.0,0.16379999999999997,1.0819,0.08190000000000008
0.095,1.0,0.905,0.095,0.0,2.0,1.0,0.17195,1.085975,0.08597499999999991
0.1,1.0,0.9,0.1,0.0,2.0,1.0,0.18,1.09,0.09000000000000008
0.105,1.0,0.895,0.105,0.0,2.0,1.0,0.18795,1.093975,0.09397499999999992
0.11,1.0,0.89,0.11,0.0,2.0,1.0,0.19579999999999997,1.0979,0.0979000000000001
0.115,1.0,0.885,0.115,0.0,2.0,1.0,0.20355,1.101775,0.10177499999999995
0.12,1.0,0.88,0.12,0.0,2.0,1.0,0.2112,1.1056,0.10559999999999992
0.125,1.0,0.875,0.125,0.0,2.0,1.0,0.21875,1.109375,0.109375
0.13,1.0,0.87,0.13,0.0,2.0,1.0,0.2262,1.1131,0.11309999999999998
0.135,1.0,0.865,0.135,0.0,2.0,1.0,0.23355,1.116775,0.11677500000000007
0.14,1.0,0.86,0.14,0.0,2.0,1.0,0.24080000000000001,1.1204,0.12040000000000006
0.145,1.0,0.855,0.145,0.0,2.0,1.0,0.24795,1.123975,0.12397499999999995
0.15,1.0,0.85,0.15,0.0,2.0,1.0,0.255,1.1275,0.12749999999999995
0.155,1.0,0.845,0.155,0.0,2.0,1.0,0.26195,1.130975,0.13097500000000006
0.16,1.0,0.84,0.16,0.0,2.0,1.0,0.26880000000000004,1.1344,0.13440000000000007
0.165,1.0,0.835,0.165,0.0,2.0,1.0,0.2755500000000001,1.137775,0.13777499999999998
0.17,1.0,0.83,0.17,0.0,2.0,1.0,0.2822,1.1411,0.1411
0.17500000000000002,1.0,0.825,0.17500000000000002,0.0,2.0,1.0,0.28875000000000006,1.1443750000000001,0.14437500000000014
0.18,1.0,0.8200000000000001,0.18,0.0,2.0,1.0,0.29519999999999996,1.1476,0.14759999999999995
0.185,1.0,0.815,0.185,0.0,2.0,1.0,0.30155,1.1507749999999999,0.15077499999999988
0.19,1.0,0.81,0.19,0.0,2.0,1.0,0.30779999999999996,1.1539,0.15389999999999993
0.195,1.0,0.8049999999999999,0.195,0.0,2.0,1.0,0.31395000000000006,1.156975,0.1569750000000001
0.2,1.0,0.8,0.2,0.0,2.0,1.0,0.32,1.16,0.15999999999999992
0.20500000000000002,1.0,0.7949999999999999,0.20500000000000002,0.0,2.0,1.0,0.3259500000000001,1.162975,0.1629750000000001
0.21,1.0,0.79,0.21,0.0,2.0,1.0,0.3318,1.1659,0.16589999999999994
0.215,1.0,0.785,0.215,0.0,2.0,1.0,0.33755,1.1687750000000001,0.16877500000000012
0.22,1.0,0.78,0.22,0.0,2.0,1.0,0.34319999999999995,1.1716,0.17159999999999997
0.225,1.0,0.775,0.225,0.0,2.0,1.0,0.34875,1.174375,0.17437499999999995
0.23,1.0,0.77,0.23,0.0,2.0,1.0,0.35419999999999996,1.1771,0.17710000000000004
0.23500000000000001,1.0,0.765,0.23500000000000001,0.0,2.0,1.0,0.35955000000000004,1.179775,0.17977500000000002
0.24,1.0,0.76,0.24,0.0,2.0,1.0,0.3648,1.1824,0.1823999999999999
0.245,1.0,0.755,0.245,0.0,2.0,1.0,0.36995,1.1849750000000001,0.1849750000000001
0.25,1.0,0.75,0.25,0.0,2.0,1.0,0.375,1.1875,0.1875
0.255,1.0,0.745,0.255,0.0,2.0,1.0,0.37995,1.189975,0.189975
0.26,1.0,0.74,0.26,0.0,2.0,1.0,0.38480000000000003,1.1924000000000001,0.19240000000000013
0.265,1.0,0.735,0.265,0.0,2.0,1.0,0.38955,1.194775,0.19477499999999992
0.27,1.0,0.73,0.27,0.0,2.0,1.0,0.3942,1.1971,0.19710000000000005
0.275,1.0,0.725,0.275,0.0,2.0,1.0,0.39875,1.199375,0.19937500000000008
0.28,1.0,0.72,0.28,0.0,2.0,1.0,0.4032,1.2016,0.2016
0.28500000000000003,1.0,0.715,0.28500000000000003,0.0,2.0,1.0,0.40755,1.203775,0.20377500000000004
0.29,1.0,0.71,0.29,0.0,2.0,1.0,0.4118,1.2059,0.20589999999999997
0.295,1.0,0.7050000000000001,0.295,0.0,2.0,1.0,0.41595,1.207975,0.20797500000000002
0.3,1.0,0.7,0.3,0.0,2.0,1.0,0.42000000000000004,1.21,0.20999999999999996
0.305,1.0,0.6950000000000001,0.305,0.0,2.0,1.0,0.42395,1.211975,0.21197500000000002
0.31,1.0,0.69,0.31,0.0,2.0,1.0,0.42779999999999996,1.2139,0.21389999999999998
0.315,1.0,0.685,0.315,0.0,2.0,1.0,0.43155,1.215775,0.21577500000000005
0.32,1.0,0.6799999999999999,0.32,0.0,2.0,1.0,0.43520000000000003,1.2176,0.21760000000000002
0.325,1.0,0.675,0.325,0.0,2.0,1.0,0.43875,1.2193749999999999,0.21937499999999988
0.33,1.0,0.6699999999999999,0.33,0.0,2.0,1.0,0.44220000000000004,1.2211,0.22110000000000007
0.335,1.0,0.665,0.335,0.0,2.0,1.0,0.44555,1.222775,0.22277499999999995
0.34,1.0,0.6599999999999999,0.34,0.0,2.0,1.0,0.4488,1.2244,0.22439999999999993
0.34500000000000003,1.0,0.655,0.34500000000000003,0.0,2.0,1.0,0.45195,1.225975,0.22597500000000004
0.35000000000000003,1.0,0.6499999999999999,0.35000000000000003,0.0,2.0,1.0,0.455,1.2275,0.22750000000000004
0.355,1.0,0.645,0.355,0.0,2.0,1.0,0.45794999999999997,1.228975,0.22897499999999993
0.36,1.0,0.64,0.36,0.0,2.0,1.0,0.4608,1.2304,0.23039999999999994
0.365,1.0,0.635,0.365,0.0,2.0,1.0,0.46355,1.231775,0.23177500000000006
0.37,1.0,0.63,0.37,0.0,2.0,1.0,0.4662,1.2331,0.23310000000000008
0.375,1.0,0.625,0.375,0.0,2.0,1.0,0.46875,1.234375,0.234375
0.38,1.0,0.62,0.38,0.0,2.0,1.0,0.4712,1.2356,0.23560000000000003
0.385,1.0,0.615,0.385,0.0,2.0,1.0,0.47355,1.236775,0.23677499999999996
0.39,1.0,0.61,0.39,0.0,2.0,1.0,0.4758,1.2379,0.2379
0.395,1.0,0.605,0.395,0.0,2.0,1.0,0.47795,1.238975,0.23897499999999994
0.4,1.0,0.6,0.4,0.0,2.0,1.0,0.48,1.24,0.24
0.405,1.0,0.595,0.405,0.0,2.0,1.0,0.48195,1.240975,0.24097499999999994
0.41000000000000003,1.0,0.59,0.41000000000000003,0.0,2.0,1.0,0.4838,1.2419,0.2419
0.41500000000000004,1.0,0.585,0.41500000000000004,0.0,2.0,1.0,0.48555000000000004,1.242775,0.24277499999999996
0.42,1.0,0.5800000000000001,0.42,0.0,2.0,1.0,0.48719999999999997,1.2436,0.24360000000000004
0.425,1.0,0.575,0.425,0.0,2.0,1.0,0.48875,1.244375,0.244375
0.43,1.0,0.5700000000000001,0.43,0.0,2.0,1.0,0.49019999999999997,1.2450999999999999,0.24509999999999987
0.435,1.0,0.565,0.435,0.0,2.0,1.0,0.49154999999999993,1.245775,0.24577500000000008
0.44,1.0,0.56,0.44,0.0,2.0,1.0,0.4928,1.2464,0.24639999999999995
0.445,1.0,0.5549999999999999,0.445,0.0,2.0,1.0,0.49395,1.246975,0.24697499999999994
0.45,1.0,0.55,0.45,0.0,2.0,1.0,0.495,1.2475,0.24750000000000005
0.455,1.0,0.5449999999999999,0.455,0.0,2.0,1.0,0.49595,1.247975,0.24797500000000006
0.46,1.0,0.54,0.46,0.0,2.0,1.0,0.4968,1.2484,0.24839999999999995
0.465,1.0,0.5349999999999999,0.465,0.0,2.0,1.0,0.49754999999999994,1.248775,0.24877499999999997
0.47000000000000003,1.0,0.53,0.47000000000000003,0.0,2.0,1.0,0.4982,1.2490999999999999,0.24909999999999988
0.47500000000000003,1.0,0.5249999999999999,0.47500000000000003,0.0,2.0,1.0,0.49875,1.2493750000000001,0.24937500000000012
0.48,1.0,0.52,0.48,0.0,2.0,1.0,0.4992,1.2496,0.24960000000000004
0.485,1.0,0.515,0.485,0.0,2.0,1.0,0.49955,1.249775,0.24977500000000008
0.49,1.0,0.51,0.49,0.0,2.0,1.0,0.4998,1.2499,0.2499
0.495,1.0,0.505,0.495,0.0,2.0,1.0,0.49995,1.249975,0.24997500000000006
0.5,1.0,0.5,0.5,0.0,2.0,1.0,0.5,1.25,0.25
